Student_ID,Enrollment_Date,Region,City,Course_Name,Learning_Mode,Fees_Paid,Attendance_Percent,Course_Status,Placement_Status
1,29-05-2022,West,Mumbai,Python,Offline,144770.33,40,Ongoing,Not Placed
2,22-01-2021,South,Kolkata,Web Development,Online,92417.81,79,Completed,Placed
3,15-12-2022,North,Pune,Cyber Security,Online,105916.82,89,Dropped,Not Placed
4,07-06-2022,East,Hyderabad,Python,Offline,18927.99,68,Completed,Not Eligible
5,15-11-2020,North,Ahmedabad,AI/ML,Offline,189905.37,52,Completed,Not Eligible
6,17-07-2023,West,Mumbai,Data Science,Offline,34366.37,46,Ongoing,Not Placed
7,20-11-2020,Central,Kolkata,Cyber Security,Online,76791.85,82,Dropped,Not Eligible
8,16-12-2022,North,Mumbai,AI/ML,Online,65238.08,45,Ongoing,Placed
9,06-09-2022,North,Ahmedabad,Web Development,Hybrid,169195.95,96,Completed,Not Eligible
10,11-06-2022,South,Ahmedabad,AI/ML,Offline,237694.01,80,Ongoing,Placed
11,13-02-2021,West,Mumbai,AI/ML,Offline,98110.4,84,Ongoing,Not Eligible
12,20-07-2022,South,Mumbai,AI/ML,Hybrid,50558.12,58,Completed,Not Placed
13,13-02-2021,East,Chennai,Python,Online,26918.11,58,Completed,Placed
14,26-04-2022,South,Bengaluru,Cyber Security,Offline,72628.07,67,Dropped,Not Eligible
15,06-09-2023,East,Delhi,Python,Offline,169545.66,59,Completed,Not Placed
16,25-03-2023,South,Hyderabad,Cyber Security,Online,41897.06,47,Dropped,Not Placed
17,16-01-2023,South,Delhi,Cyber Security,Offline,144359.89,88,Ongoing,Placed
18,18-09-2020,West,Ahmedabad,Python,Hybrid,76834.32,89,Ongoing,Not Eligible
19,24-12-2020,East,Ahmedabad,Python,Online,181143.01,68,Dropped,Not Placed
20,25-10-2022,East,Ahmedabad,AI/ML,Online,243234.8,96,Ongoing,Placed
21,28-03-2022,West,Mumbai,Data Science,Online,159334,76,Completed,Not Eligible
22,01-09-2023,North,Mumbai,Data Science,Online,233539.29,75,Ongoing,Placed
23,08-07-2021,West,Ahmedabad,Data Science,Offline,235449.27,65,Completed,Placed
24,16-12-2022,East,Ahmedabad,Cyber Security,Offline,104084.73,49,Ongoing,Placed
25,16-05-2023,North,Kolkata,AI/ML,Online,48690.58,69,Ongoing,Placed
26,31-12-2020,West,Delhi,Cloud Computing,Offline,175156.99,90,Ongoing,Not Placed
27,28-07-2022,Central,Ahmedabad,Python,Offline,124355.78,93,Ongoing,Not Eligible
28,11-03-2021,West,Delhi,AI/ML,Offline,63147.25,46,Ongoing,Not Eligible
29,12-05-2022,West,Kolkata,Data Science,Online,32000.26,86,Dropped,Placed
30,18-07-2020,East,Ahmedabad,Cyber Security,Online,168173.81,86,Completed,Placed
31,21-04-2023,East,Hyderabad,Cyber Security,Offline,228933.42,91,Ongoing,Not Placed
32,10-02-2021,North,Delhi,Web Development,Hybrid,219649.64,70.10842186,Dropped,Not Placed
33,08-06-2022,North,Mumbai,AI/ML,Online,214378.64,92,Ongoing,Not Placed
34,28-06-2023,West,Bengaluru,Data Science,Hybrid,29674.38,73,Ongoing,Not Placed
35,25-05-2021,North,Ahmedabad,Cloud Computing,Online,102196.67,89,Completed,Not Eligible
36,01-02-2021,East,Ahmedabad,Data Science,Online,109816.23,86,Ongoing,Not Eligible
37,21-10-2021,South,Bengaluru,Cyber Security,Offline,173153.69,80,Completed,Placed
38,07-10-2020,West,Chennai,Cloud Computing,Hybrid,174851.23,65,Completed,Not Placed
39,08-02-2023,Central,Chennai,AI/ML,Online,108113.66,62,Completed,Not Placed
40,07-09-2022,North,Pune,Web Development,Offline,52708.43,77,Ongoing,Not Placed
41,10-04-2022,North,Ahmedabad,Data Science,Hybrid,144509.7,92,Completed,Not Placed
42,07-12-2021,South,Hyderabad,Python,Hybrid,208554.57,67,Dropped,Not Placed
43,20-09-2021,Central,Bengaluru,Data Science,Offline,47050.09,83,Completed,Not Placed
44,17-07-2021,East,Ahmedabad,Cyber Security,Offline,70666.58,80,Completed,Placed
45,11-02-2023,Central,Ahmedabad,Data Science,Online,34327.86,96,Completed,Not Placed
46,10-07-2020,Central,Ahmedabad,Data Science,Online,159039.22,51,Dropped,Placed
47,30-12-2020,East,Chennai,Cyber Security,Online,55731.93,67,Dropped,Placed
